query_id,task_type,query_text,gt_video_id,gt_frame_ids,gt_answer,num_predictions,first_correct_video_rank,video_top_bucket,first_positive_r_rank,positive_top_bucket,first_full_hit_rank,full_hit_top_bucket,best_r_score,best_r_rank,R@1,R@5,R@20,R@50,R@100,btc_final_score,rr_correct_video,rr_positive,rr_full_hit
query-p2-16-kis,KIS,"Một người đang đổ 1 nguyên liệu vào trong 1 nồi thủy tinh, sau đó sử dụng 1 đôi đũa để đảo nguyên liệu màu đỏ có chút màu xanh lá cây. Sau khi nguyên liệu đã biến đổi màu, người đàn ông đổ thêm 1.5L nguyên liệu dạng lỏng, 1/2 muỗng (cà phê) nguyên liệu trắng có vị mặn, 1/2 muỗng nguyên liệu trắng có vị ngọt, 2 muỗng hạt nguyên liệu có vị từ xương hầm.",L26_V481,5212,,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-17-kis,KIS,"Một nguyên liệu đã được chiên sơ, được sơ chế cắt làm 2 nửa (không để 2 nửa tách rời). Tiếp theo, người đàn ông sử dụng 1 công cụ để tách phần lõi và lớp vỏ của nguyên liệu. Sau đó, đặt phần nguyên liệu vừa sơ chế trên 1 loại công cụ có màu trắng.",L26_V482,2056,,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-19-kis,KIS,"Sau khi lướt qua các cọc trụ, chú lân vàng đứng thăng bằng bằng ba chân trên ba đỉnh trụ, trước khi khéo léo đặt nốt chân còn lại lên trụ thứ tư. Chú lân cúi đầu ngoạm lấy cành hoa màu tím rồi xoay người quay lưng lại. Theo từng tiếng chập cheng vang lên, lân mở rồi đóng hàm đúng 4 nhịp, rồi nhả cành hoa rơi xuống đất.",L24_V032,14043,,50,9.0,Top20,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
query-p2-20-kis,KIS,"Slide bài giảng về một nhóm hợp chất hữu cơ. Trong slide có 2 hình đặt cạnh nhau là hai biến thể của cùng 1 loại hạt lương thực, và ở nửa dưới là một sơ đồ phân loại của nhóm hợp chất ấy. Đáng chú ý có một phân loại được mô tả bởi cấu trúc phân tử là những dải hình tròn dài được bắc cầu với nhau bằng những cặp hình tròn màu tím.",L25_V021,14333,,50,2.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
query-p2-22-kis,KIS,Một phương tiện giao thông trên không chạy bằng điện đang bay thử nghiệm phía trên khuôn viên rộng lớn với những khu vườn xanh được cắt tỉa theo hình học và các công trình kiến trúc cổ kính. Phần phía trên thiết bị bay có dạng khung tròn lớn. Đây là việc thử nghiệm thiết bị bay này ở một nước Tây Âu.,L21_V012,19337,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-23-kis,KIS,Trong clip có cảnh 3 cặp trâu nước đang được điều khiển chạy đua trên ruộng bùn ở 1 quốc gia Đông Nam Á. Sau đó có cảnh 1 cặp trâu màu trắng (màu sáng) chạy đua.,L21_V005,24387,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-25-kis,KIS,"Một người dùng vá nhúng những lát thịt mỏng vào nồi nước đang sôi. Thịt sau đó được cho vào tô có sẵn sợi trắng cùng với cà chua và một số nguyên liệu khác. Cuối cùng, nước dùng nóng được chan vào tô.",L26_V395,5876,,50,10.0,Top20,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
query-p2-26-kis,KIS,"Một bài giảng chuyển qua nhiều sơ đồ hình học không gian. Các hình ban đầu gồm một đường xiên đi qua một hình phẳng và hai hình phẳng giao nhau. Tiếp đó xuất hiện một điểm phía trên một hình phẳng có đoạn thẳng nối vuông góc xuống dưới. Cuối cùng là một khối gồm bốn đỉnh, sau đó được bổ sung thêm các đường nét đứt, điểm và ký hiệu vuông góc.",L25_V043,3611,,50,3.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
query-p2-28-kis,KIS,"Cảnh quay phỏng vấn một người phụ nữ, đeo kính gọng đen, tay đang ôm một bao đồ như quần áo. Xung quanh đó có những bao đồ khác. Bao đồ trên tay người phụ nữ có màu trắng và có 1 logo màu xanh lá cây.",L30_V091,2653,,50,12.0,Top20,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
query-p2-29-kis,KIS,Một người đang múc canh từ trong nồi qua một tô nhỏ hơn. Chiếc tô này đang đặt trên 1 tấm vải có sọc trắng và đặt trên một khay gỗ. Tổng số lần quay được của người này múc canh ra tô là 2 lần.,L26_V051,5743,,50,36.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0
query-p2-30-kis,KIS,"Đoạn clip bắt đầu khi có 1 người đang phất cờ về đích đến trong chặng đua xe đạp quanh hồ. Ngay sau đó, một đoàn đông vận động viên xe đạp đang vào cua giữa khung cảnh đường phố rợp bóng cây. Một người đứng bên đường, tay trái cầm điện thoại để ghi hình, còn tay phải cầm một cây gậy có gắn thiết bị quay ở đầu hướng về phía đoàn đua.",L23_V005,2330,,50,12.0,Top20,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0
query-p2-31-kis,KIS,"Điểm thú vị trong cảnh là một bạn trẻ có mái tóc sáng màu, trông có vẻ là người nước ngoài, đang ngồi xếp bằng cùng người dân địa phương và trực tiếp tham gia đóng gói những chiếc bánh gói lá. Trong cảnh có chiếc quạt máy với cánh quạt màu xanh lá cây.",L30_V023,3820,,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-32-kis,KIS,"Đoạn phim bắt đầu với cảnh hai mẹ con cầm điện thoại trò chuyện, sau đó chuyển sang cảnh người con trả lời phỏng vấn, phía sau có một phụ nữ da đen đang bước qua.",L21_V010,23392,,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-33-kis,KIS,"Cảnh quay slow motion từ flycam ghi lại màn nước rút của hai tay đua dẫn đầu, trong đó tay đua mũ đen được cho là đuối sức hơn tay đua mũ trắng và để thua ở đoạn cuối.",L23_V009,6571,,50,23.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0
query-p2-36-kis,KIS,"Camera lia chậm trên mặt bàn làm việc, bắt đầu từ một bức ảnh/tranh một người đang bắt tay với Bác Hồ, sau đó chuyển sang phần bên phải là tay nghệ nhân đang vẽ lại chân dung người bắt tay Bác. Người nghệ nhân này vẽ bằng một cây bút đặc biệt trên một chất liệu đặc biệt.",L28_V010,14798,,50,4.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
query-p2-5-qa,QA,"Một giáo viên nam đứng bên trái màn hình giảng bài ôn tập môn Địa lí. Nội dung trình chiếu giới thiệu khái quát một vùng kinh tế, sau đó chuyển sang vị trí địa lí, phạm vi lãnh thổ và ý nghĩa phát triển. Ở phần sau, một bản đồ khí hậu Việt Nam được đưa lên để minh họa cho bài giảng.
Câu hỏi: Theo nội dung bài giảng, vùng được nhắc đến gồm bao nhiêu tỉnh, thành?",L25_V016,2513,6,50,2.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
query-p2-6-qa,QA,"Một giáo viên nam đứng bên trái màn hình và giảng bài trước một máy tính. Trên màn hình lớn hiển thị hướng dẫn chấm điểm, trong đó phần a đề cập đến cấu trúc của bài nghị luận văn học gồm mở bài, thân bài và kết bài. Nội dung bài giảng liên quan đến một tác phẩm văn học và yêu cầu phân tích nhân vật. Phía dưới màn hình xuất hiện dòng chữ giới thiệu chương trình ôn thi môn Ngữ văn.
Câu hỏi: Tác giả được giới thiệu là người có duyên nợ gắn bó với đề tài miền núi nào?",L25_V027,12318,Tây Bắc,50,15.0,Top20,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
query-p2-8-qa,QA,"Đoạn phim ghi lại cuộc phỏng vấn một người đàn ông đam mê sưu tầm game, chia sẻ rằng niềm đam mê của anh được truyền cảm hứng từ món đồ chơi của bà mình. Trong đoạn phỏng vấn xuất hiện một dòng chữ neon phát sáng.
Câu hỏi: Dòng chữ đó là gì?",L21_V018,21399,SEGA,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
query-p2-14-qa,QA,"Một bé gái mặc áo bơi họa tiết hoa lá đang trả lời phỏng vấn bên cạnh một hồ bơi. Tiếp theo là hình ảnh cháu bé bơi trong hồ nước, đội mũ bơi màu tím.
Câu hỏi: Hãy cho biết bé gái này sắp lên học lớp mấy? (Đáp án chỉ ghi 1 chữ số).",L30_V047,5387,5,50,4.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
query-p2-18-qa,QA,"Các cảnh quay nối tiếp nhau từ nhiều góc máy trong một lớp học tại một thời điểm. Cảnh đầu tiên là cảnh một sư cô ân cần quan sát một cậu bé áo xanh lá ngồi học bài. Sau đó là cảnh quay cận trang vở môn Toán, ghi lại các nét chữ mà học sinh đang ghi chép. Trong lớp học này, giáo viên nữ trong trang phục màu hồng đứng lớp chính, còn sư cô di chuyển xung quanh lớp học để hỗ trợ các em.
Câu hỏi: Các giáo viên tham gia giảng dạy tại lớp học này là giáo viên dạy chính ở trường tiểu học nào?",L30_V010,3126,trường tiểu học công hải,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-24-qa,QA,"Một đầu bếp đang chuẩn bị một món ăn từ một miếng thực phẩm màu cam. Người này băm nhỏ một số nguyên liệu, tách các hạt nhỏ khỏi cành rồi trộn chúng thành hỗn hợp gia vị. Sau đó, nhiều loại gia vị được lần lượt thêm vào và hỗn hợp được phủ lên cả hai mặt của nguyên liệu chính trước khi thêm một chất lỏng.
Câu hỏi: Trong quá trình nêm gia vị, lượng nước tương được sử dụng là bao nhiêu?",L26_V448,2805,2 muỗng cà phê,50,44.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0
query-p2-27-qa,QA,"Cảnh quay 2 người đang nắn những cục bột nhỏ thành hình dẹt. 1 người nắn cục bột màu trắng, người còn lại nắn cục bột màu khác. Sau đó họ đặt nhân vào phần giữa và cuộn lớp bột bao quanh phần nhân. Trước khi đặt lên dĩa, họ đặt thành phẩm lên 1 miếng lá nhỏ.
Câu hỏi: Trên dĩa có mấy màu bột khác nhau?",L26_V296,5366,3,50,28.0,Top50,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0
query-p2-35-qa,QA,"Giải đề THPTQG 2018 tại nhóm X. Nhóm này gồm 4 câu hỏi trắc nghiệm 4 đáp án A, B, C, D, trong đó đáp án 4 câu không trùng nhau và đều chứa chữ số 0.
Câu hỏi: X là số mấy?",L25_V014,41583,3,50,3.0,Top5,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
query-p2-21-trake,TRAKE,"Một món ăn làm từ tôm và các loại gia vị.
E1: Khoảnh khắc người đầu bếp bắt đầu trộn hỗn hợp nước xốt, trong nước xốt này có 2 thành phần là nước cam và vỏ cam.
E2: Khoảnh khắc người đầu bếp bắt đầu cắt bỏ đầu tôm.
E3: Người đầu bếp cho tôm ra dĩa. Hãy chọn khoảnh khắc con tôm đầu tiên chạm vào dĩa.
E4: Khoảnh khắc tép cam thứ 4 được xếp lên dĩa khi trang trí món ăn.",L26_V156,"3265, 3780, 4786, 6730",,50,1.0,Top1,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
query-p2-34-trake,TRAKE,"Con lân màu đỏ đang biểu diễn trên các cột trụ.
E1: Con lân treo hai chân trước vào phần dưới thân của hai trụ gần cuối (gần trụ cuối cùng cao nhất).
E2: Con lân đứng thẳng sau khi di chuyển từ cuối dãy trụ về, hai chân đứng trên hai trụ khác nhau và một chân trước co lên.
E3: Khoảnh khắc con lân hoàn tất động tác ngoảnh mặt theo hướng ngược lại.
E4: Khoảnh khắc đầu tiên con lân ngậm một thanh trụ.",L24_V013,"9855, 10231, 10330, 10595",,50,,MISS,,MISS,,MISS,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
