folder,depth,objects_recursive,size_bytes_recursive,size_GB_recursive
processed/feature-annotations/fe-vector-embedding-v1,3,3,409497,0.0003813738003373146
logs/pipeline=kaggle_ingest/run_id=20260701T114411Z_ebe016fc,3,2,1493,1.3904646039009094e-06
logs/pipeline=kaggle_ingest/run_id=20260702T134541Z_b6d0cb2f,3,2,10171,9.472481906414032e-06
logs/pipeline=kaggle_ingest/run_id=20260702T141333Z_80c68882,3,2,31527,2.936180680990219e-05
logs/pipeline=kaggle_ingest/run_id=20260702T142821Z_938002a0,3,2,29074,2.7077272534370422e-05
logs/pipeline=kaggle_ingest/run_id=20260702T144306Z_36d77b92,3,2,29074,2.7077272534370422e-05
logs/pipeline=kaggle_ingest/run_id=20260702T145752Z_289afff3,3,2,29074,2.7077272534370422e-05
logs/pipeline=kaggle_ingest/run_id=20260702T151354Z_b1475415,3,2,29074,2.7077272534370422e-05
logs/pipeline=kaggle_ingest/run_id=20260707T023233Z_257cc35d,3,2,1200,1.1175870895385742e-06
logs/pipeline=kaggle_ingest/run_id=20260707T100137Z_c3caedb8,3,2,1275,1.1874362826347351e-06
logs/pipeline=kaggle_ingest/run_id=20260707T100546Z_5c261ae3,3,2,1444,1.344829797744751e-06
logs/pipeline=kaggle_ingest/run_id=20260707T102455Z_b92f8031,3,2,9460,8.810311555862427e-06
logs/pipeline=kaggle_ingest/run_id=20260707T104254Z_3ee11a1c,3,2,29082,2.7084723114967346e-05
logs/pipeline=kaggle_ingest/run_id=20260707T105953Z_0de2cb82,3,2,1249,1.1632218956947327e-06
logs/pipeline=kaggle_ingest/run_id=20260707T132640Z_6e747af8,3,2,345447,0.0003217225894331932
processed/keyframes/dataset=ai_challenge_2025/batch=L26,4,154740,27799736014,25.89052171818912
processed/keyframes/dataset=ai_challenge_2025/batch=L25,4,36342,6501623407,6.055108650587499
processed/keyframes/dataset=ai_challenge_2025/batch=L22,4,31243,6890265476,6.417059782892466
processed/keyframes/dataset=ai_challenge_2025/batch=L21,4,25610,5570275915,5.18772370647639
processed/keyframes/dataset=ai_challenge_2025/batch=L28,4,16026,3936209377,3.6658806512132287
processed/keyframes/dataset=ai_challenge_2025/batch=L29,4,15101,3991804571,3.7176577104255557
processed/keyframes/dataset=ai_challenge_2025/batch=L30,4,13374,2743220070,2.554822778329253
processed/keyframes/dataset=ai_challenge_2025/batch=L27,4,8980,2271085801,2.1151134753599763
processed/keyframes/dataset=ai_challenge_2025/batch=L24,4,7219,1888775304,1.7590590789914131
processed/keyframes/dataset=ai_challenge_2025/batch=L23,4,2539,599297463,0.5581392562016845
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current,4,961,95833339590,89.25175256095827
features/extractors/dataset=ai_challenge_2025/batch=L21,4,63,17454627,0.016255888156592846
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L21,4,36,38552433,0.035904751159250736
features/extractors/dataset=ai_challenge_2025/batch=L22,4,15,172093973,0.16027500201016665
features/extractors/dataset=ai_challenge_2025/batch=L23,4,15,17029562,0.015860015526413918
features/extractors/dataset=ai_challenge_2025/batch=L24,4,15,33591720,0.03128472715616226
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L23,4,14,2422698,0.0022563133388757706
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L24,4,14,9636925,0.00897508580237627
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L26,4,13,198741058,0.18509203381836414
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L22,4,12,20924942,0.01948787085711956
features/extractors/dataset=ai_challenge_2025/batch=L26,4,10,232336721,0.21638043317943811
features/extractors/dataset=ai_challenge_2025/batch=L27,4,10,25384018,0.02364070899784565
features/extractors/dataset=ai_challenge_2025/batch=L28,4,10,44166436,0.041133198887109756
features/extractors/dataset=ai_challenge_2025/batch=L29,4,10,42050264,0.03916236013174057
features/extractors/dataset=ai_challenge_2025/batch=L30,4,10,43367341,0.0403889836743474
features/import_bundles/dataset=ai_challenge_2025/batch=L21,4,7,18578,1.730211079120636e-05
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L25,4,7,48658858,0.045317092910408974
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L27,4,7,5847063,0.005445501767098904
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L28,4,7,10478747,0.009759093634784222
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L29,4,7,9865552,0.009188011288642883
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L30,4,7,8750630,0.008149659261107445
features/extractors/dataset=ai_challenge_2025/batch=L25,4,5,110841674,0.10322935320436954
features/patches/dataset=ai_challenge_2025/batch=L21,4,3,64104298,0.05970177985727787
processed/feature-annotations/fe-vector-embedding-v1/vector_embedding-demo-20260718_175345-9f395bb1,4,2,408285,0.00038024503737688065
processed/feature-annotations/fe-vector-embedding-v1/vector_embedding-demo-20260718_174024-59916b7d,4,1,1212,1.12876296043396e-06
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1,5,154740,27799736014,25.89052171818912
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1,5,36342,6501623407,6.055108650587499
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1,5,31243,6890265476,6.417059782892466
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1,5,25610,5570275915,5.18772370647639
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1,5,16026,3936209377,3.6658806512132287
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1,5,15101,3991804571,3.7176577104255557
processed/keyframes/dataset=ai_challenge_2025/batch=L30/profile=autoshot_v1,5,13374,2743220070,2.554822778329253
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1,5,8980,2271085801,2.1151134753599763
processed/keyframes/dataset=ai_challenge_2025/batch=L24/profile=autoshot_v1,5,7219,1888775304,1.7590590789914131
processed/keyframes/dataset=ai_challenge_2025/batch=L23/profile=autoshot_v1,5,2539,599297463,0.5581392562016845
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L26,5,498,34043159249,31.70516271982342
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L25,5,176,25698597832,23.933684296905994
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L30,5,96,4137446126,3.8532969783991575
features/extractors/dataset=ai_challenge_2025/batch=L21/frame_profile=autoshot_v1,5,63,17454627,0.016255888156592846
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L24,5,43,5796197572,5.398129645735025
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1,5,36,38552433,0.035904751159250736
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L22,5,31,4154529806,3.8692073952406645
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L21,5,29,3378944552,3.1468873396515846
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L23,5,25,2043038704,1.9027280658483505
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L28,5,24,7274481383,6.774888730607927
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L29,5,23,6767155175,6.302404380403459
raw/source=kaggle/dataset=ai_challenge_2025/source_version=kaggle_current/batch=L27,5,16,2539789191,2.3653630083426833
features/extractors/dataset=ai_challenge_2025/batch=L22/frame_profile=autoshot_v1,5,15,172093973,0.16027500201016665
features/extractors/dataset=ai_challenge_2025/batch=L23/frame_profile=autoshot_v1,5,15,17029562,0.015860015526413918
features/extractors/dataset=ai_challenge_2025/batch=L24/frame_profile=autoshot_v1,5,15,33591720,0.03128472715616226
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L23/profile=autoshot_v1,5,14,2422698,0.0022563133388757706
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L24/profile=autoshot_v1,5,14,9636925,0.00897508580237627
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1,5,13,198741058,0.18509203381836414
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1,5,12,20924942,0.01948787085711956
features/extractors/dataset=ai_challenge_2025/batch=L26/frame_profile=autoshot_v1,5,10,232336721,0.21638043317943811
features/extractors/dataset=ai_challenge_2025/batch=L27/frame_profile=autoshot_v1,5,10,25384018,0.02364070899784565
features/extractors/dataset=ai_challenge_2025/batch=L28/frame_profile=autoshot_v1,5,10,44166436,0.041133198887109756
features/extractors/dataset=ai_challenge_2025/batch=L29/frame_profile=autoshot_v1,5,10,42050264,0.03916236013174057
features/extractors/dataset=ai_challenge_2025/batch=L30/frame_profile=autoshot_v1,5,10,43367341,0.0403889836743474
features/import_bundles/dataset=ai_challenge_2025/batch=L21/frame_profile=autoshot_v1,5,7,18578,1.730211079120636e-05
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1,5,7,48658858,0.045317092910408974
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1,5,7,5847063,0.005445501767098904
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1,5,7,10478747,0.009759093634784222
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1,5,7,9865552,0.009188011288642883
processed/keyframes_manifests/dataset=ai_challenge_2025/batch=L30/profile=autoshot_v1,5,7,8750630,0.008149659261107445
features/extractors/dataset=ai_challenge_2025/batch=L25/frame_profile=autoshot_v1,5,5,110841674,0.10322935320436954
features/patches/dataset=ai_challenge_2025/batch=L21/frame_profile=autoshot_v1,5,3,64104298,0.05970177985727787
processed/feature-annotations/fe-vector-embedding-v1/vector_embedding-demo-20260718_175345-9f395bb1/annotations,5,1,406492,0.0003785751760005951
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V016,6,1300,291273338,0.2712694350630045
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V004,6,1249,282446737,0.26304902229458094
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V018,6,1195,267763220,0.2493739314377308
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V013,6,1138,234678106,0.21856101788580418
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V001,6,1135,244724092,0.22791707143187523
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V015,6,1105,225332658,0.2098573911935091
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V021,6,1099,250023499,0.23285252880305052
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V003,6,1093,241451897,0.22486960235983133
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V006,6,1087,249601273,0.23245930019766092
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V008,6,1078,224691319,0.20926009770482779
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V015,6,1075,225674704,0.21017594635486603
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V018,6,1054,241067728,0.22451181709766388
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V012,6,1054,226049031,0.21052456554025412
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V020,6,1054,227833034,0.21218604780733585
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V026,6,1045,228680601,0.21297540608793497
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V007,6,1036,214176723,0.19946761708706617
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V028,6,1036,222539040,0.20725563168525696
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V024,6,1030,227606670,0.2119752299040556
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V001,6,1024,201981926,0.18811032734811306
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V024,6,1006,209846092,0.19543440267443657
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V022,6,994,207868208,0.1935923546552658
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V031,6,985,208665934,0.19433529488742352
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V011,6,985,232061072,0.21612371504306793
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V025,6,976,220949666,0.20577541179955006
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V031,6,973,211148006,0.1966469045728445
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V027,6,967,216765078,0.20187821052968502
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V026,6,964,222167354,0.20690947212278843
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V023,6,961,206262752,0.19209715723991394
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V019,6,955,214244920,0.19953113049268723
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V014,6,949,213425736,0.19876820594072342
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V016,6,949,212769322,0.19815687276422977
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V013,6,946,209218578,0.1948499847203493
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V010,6,943,220408441,0.2052713567391038
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V002,6,940,210917844,0.19643254950642586
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V023,6,937,195377045,0.1819590525701642
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V025,6,934,200980100,0.18717730417847633
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V030,6,931,208130051,0.19383621495217085
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V009,6,922,198958575,0.18529461231082678
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V029,6,907,193786375,0.1804776256904006
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V014,6,904,211719947,0.19717956613749266
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V017,6,904,189144946,0.17615495808422565
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V008,6,892,184932001,0.17223134730011225
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V029,6,886,207347713,0.19310760591179132
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V002,6,868,195003253,0.18161093164235353
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V011,6,862,185626845,0.17287847120314837
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V001,6,856,232666707,0.21668775659054518
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V030,6,850,192925406,0.1796757858246565
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V010,6,844,180952013,0.16852469462901354
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V006,6,829,183817831,0.17119369562715292
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V005,6,829,184919535,0.1722197374328971
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V001,6,820,188952027,0.1759752882644534
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V009,6,817,199802671,0.1860807379707694
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V003,6,805,170834760,0.15910226851701736
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V009,6,805,189391039,0.1763841500505805
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V006,6,802,188967749,0.17598993051797152
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V027,6,799,176371955,0.16425918322056532
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V014,6,775,154786339,0.14415601175278425
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V028,6,772,161029568,0.14997047185897827
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V019,6,763,176071938,0.1639797706156969
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V010,6,763,187599782,0.1747159119695425
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V006,6,763,186470533,0.17366421688348055
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V019,6,760,187741245,0.17484765965491533
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V012,6,754,164780629,0.15346391964703798
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V021,6,754,179898251,0.16754330229014158
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V013,6,754,165474220,0.1541098766028881
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V017,6,754,218906459,0.2038725269958377
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V024,6,751,174565830,0.16257709823548794
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V005,6,748,153362564,0.1428300179541111
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V002,6,748,190308017,0.17723815236240625
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V016,6,748,175820527,0.16374562587589025
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V018,6,742,176744101,0.16460577119141817
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V002,6,739,149988571,0.1396877421066165
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V023,6,739,223631115,0.20827270578593016
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V003,6,733,145117280,0.1351509988307953
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V011,6,733,194461542,0.181106423959136
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V010,6,721,179219220,0.16691090539097786
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V015,6,703,183290214,0.17070231400430202
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V008,6,688,161144581,0.15007758606225252
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V017,6,679,139099658,0.12954665161669254
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V019,6,679,189194223,0.17620085086673498
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V004,6,664,192960429,0.17970840353518724
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V005,6,661,120742853,0.11245054472237825
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V017,6,658,206042531,0.19189206045120955
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V007,6,655,147176760,0.13706903904676437
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V013,6,655,208985298,0.194632725790143
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V014,6,655,175057142,0.16303466819226742
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V018,6,652,168832295,0.15723732765763998
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V022,6,640,144588034,0.13465810008347034
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V004,6,640,157399563,0.1465897662565112
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V008,6,640,147548743,0.13741547521203756
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V022,6,640,169058533,0.15744802821427584
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V007,6,628,160416099,0.1493991343304515
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V020,6,619,148985493,0.13875355292111635
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V016,6,616,154299991,0.14370306488126516
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V008,6,610,136711419,0.12732243072241545
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V015,6,604,159153867,0.14822358917444944
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V010,6,601,166152660,0.15474172309041023
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V009,6,598,131691558,0.12264732085168362
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V007,6,595,162425777,0.15127079281955957
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V012,6,592,170075385,0.15839504543691874
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V012,6,592,160867355,0.14981939923018217
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V002,6,586,157554045,0.14673363883048296
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V013,6,586,174649889,0.16265538427978754
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V005,6,571,158341613,0.14746711868792772
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V007,6,568,139619630,0.1300309132784605
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V006,6,562,115801714,0.1078487504273653
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V012,6,556,145649650,0.13564680702984333
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V016,6,556,136430860,0.1270611397922039
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V009,6,553,166396900,0.15496918931603432
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V011,6,547,151877446,0.1414468940347433
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V015,6,547,138875476,0.1293378658592701
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V001,6,538,128938526,0.12008336000144482
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V007,6,535,114318843,0.10646771918982267
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V003,6,532,153142102,0.14262469671666622
