parent_folder,direct_objects,direct_size_MB,unique_extensions
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V025,934,191.66955947875977,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V030,931,198.48828411102295,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V009,922,189.74168300628662,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V029,907,184.80908870697021,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V014,904,201.91187572479248,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V017,904,180.38267707824707,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V008,892,176.36489963531494,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V029,886,197.74218845367432,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V002,868,185.96959400177002,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V011,862,177.02755451202393,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V001,856,221.88826274871826,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V030,850,183.98800468444824,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V010,844,172.56928730010986,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V005,829,176.35301113128662,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V006,829,175.3023443222046,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V001,820,180.1986951828003,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V009,817,190.54667568206787,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V009,805,180.61736965179443,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V003,805,162.92072296142578,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V006,802,180.21368885040283,2
processed/keyframes/dataset=ai_challenge_2025/batch=L22/profile=autoshot_v1/video_id=L22_V027,799,168.2014036178589,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V014,775,147.61575603485107,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V028,772,153.56976318359375,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V010,763,178.90909385681152,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V006,763,177.83215808868408,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V019,763,167.91528511047363,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V019,760,179.0440034866333,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V017,754,208.7654676437378,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V021,754,171.56434154510498,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V013,754,157.80851364135742,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V012,754,157.1470537185669,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V024,751,166.47894859313965,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V002,748,181.491868019104,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V016,748,167.67552089691162,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V005,748,146.25793838500977,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V018,742,168.5563097000122,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V023,739,213.27125072479248,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V002,739,143.0402479171753,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V011,733,185.45297813415527,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V003,733,138.39462280273438,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V010,721,170.91676712036133,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V015,703,174.79916954040527,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V008,688,153.67944812774658,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V019,679,180.42967128753662,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V017,679,132.65577125549316,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V004,664,184.02140522003174,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V005,661,115.14935779571533,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V017,658,196.49746990203857,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V013,655,199.30391120910645,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V014,655,166.94750022888184,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V007,655,140.35869598388672,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V018,652,161.01102352142334,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V022,640,161.22678089141846,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V004,640,150.10792064666748,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V008,640,140.71344661712646,2
processed/keyframes/dataset=ai_challenge_2025/batch=L21/profile=autoshot_v1/video_id=L21_V022,640,137.88989448547363,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V007,628,152.98471355438232,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V020,619,142.08363819122314,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V016,616,147.15193843841553,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V008,610,130.37816905975342,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V015,604,151.78095531463623,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V010,601,158.45552444458008,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V009,598,125.59085655212402,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V007,595,154.901291847229,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V012,592,162.19652652740479,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V012,592,153.41506481170654,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V013,586,166.55911350250244,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V002,586,150.25524616241455,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V005,571,151.006329536438,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V007,568,133.15165519714355,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V006,562,110.43712043762207,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V012,556,138.90233039855957,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V016,556,130.1106071472168,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V009,553,158.68844985961914,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V011,547,144.84161949157715,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V015,547,132.44197463989258,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V001,538,122.96536064147949,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V007,535,109.02294445037842,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V003,532,146.0476894378662,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V014,520,127.2107286453247,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V048,514,83.69427299499512,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V033,511,96.49591827392578,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V042,511,95.02667236328125,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V005,508,108.05758666992188,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V069,508,95.64028263092041,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V039,505,81.86334800720215,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V022,496,141.6260004043579,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V021,496,130.1363639831543,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V003,496,123.3565616607666,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V074,496,84.63978481292725,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V021,493,81.64275932312012,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V023,487,132.46627712249756,2
processed/keyframes/dataset=ai_challenge_2025/batch=L27/profile=autoshot_v1/video_id=L27_V004,484,123.9897050857544,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V051,482,90.60979652404785,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V057,478,76.20547103881836,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V011,475,114.5248794555664,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V024,472,87.3254280090332,2
processed/keyframes/dataset=ai_challenge_2025/batch=L29/profile=autoshot_v1/video_id=L29_V021,472,82.02832794189453,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V060,469,84.99284839630127,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V063,469,84.92400932312012,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V054,466,83.1757926940918,2
processed/keyframes/dataset=ai_challenge_2025/batch=L28/profile=autoshot_v1/video_id=L28_V020,463,136.88894081115723,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V025,463,72.36621570587158,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V066,460,74.09407138824463,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V087,457,84.09552669525146,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V084,457,75.60593891143799,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V013,451,72.30033683776855,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V016,445,82.50004386901855,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V076,442,80.56875228881836,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V085,430,72.43750953674316,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V045,427,72.51076889038086,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V049,427,69.36501693725586,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V004,427,68.61043167114258,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V005,424,67.30129337310791,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V027,421,76.05373477935791,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V030,418,69.46914482116699,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V022,415,66.97058296203613,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V010,412,74.3408145904541,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V067,412,69.08654594421387,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V077,412,68.99629211425781,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V058,412,65.8933572769165,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V031,412,65.4567289352417,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V052,412,64.65360832214355,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V061,409,66.11209392547607,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V014,409,64.58674812316895,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V034,409,64.41934871673584,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V088,406,66.76691627502441,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V040,406,64.62200260162354,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V043,406,64.24583721160889,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V008,406,64.23313808441162,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V018,403,71.87660217285156,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V495,403,69.37346649169922,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V490,403,65.1080265045166,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V178,400,67.3920545578003,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V320,400,65.13720417022705,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V017,400,63.822702407836914,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V070,400,62.68046188354492,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V019,397,67.72833347320557,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V479,397,64.64582252502441,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V435,397,63.728577613830566,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V416,397,63.54869747161865,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V036,394,68.51404571533203,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V268,394,68.26894664764404,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V342,394,66.41229343414307,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V062,394,66.32046794891357,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V078,394,66.0343828201294,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V001,391,68.38166904449463,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V080,391,67.96138954162598,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V002,391,66.78909301757812,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V028,391,66.46994400024414,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V044,391,65.70462036132812,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V433,391,60.5523681640625,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V037,390,67.10406684875488,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V195,388,70.06245994567871,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V026,388,66.77479362487793,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V011,388,64.957275390625,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V212,388,62.40278911590576,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V296,388,60.460113525390625,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V351,388,60.36545372009277,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V015,385,67.23166084289551,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V041,385,67.01973819732666,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V086,385,65.78273677825928,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V064,385,65.75502014160156,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V428,385,65.69037246704102,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V046,385,65.17077827453613,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V234,385,63.69909954071045,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V488,385,63.637428283691406,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V336,385,63.4337682723999,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V171,385,63.261178970336914,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V075,382,65.60037803649902,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V346,382,65.55264663696289,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V496,382,64.54807376861572,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V491,382,62.87260627746582,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V012,379,65.56958770751953,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V035,379,65.4080457687378,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V020,379,65.05296897888184,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V083,379,64.11031341552734,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V053,379,64.09121990203857,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V183,379,62.39056396484375,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V408,376,68.875,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V023,376,65.44247055053711,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V476,376,64.80714416503906,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V038,376,64.3970422744751,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V072,376,64.2611894607544,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V055,376,63.76890277862549,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V071,376,63.582045555114746,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V443,376,62.339128494262695,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V250,376,59.918633460998535,2
processed/keyframes/dataset=ai_challenge_2025/batch=L26/profile=autoshot_v1/video_id=L26_V015,373,68.58391761779785,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V032,373,65.16486930847168,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V009,373,64.54996109008789,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V068,373,64.20644092559814,2
processed/keyframes/dataset=ai_challenge_2025/batch=L25/profile=autoshot_v1/video_id=L25_V006,373,64.11769199371338,2
